epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,total_objective_sum,offline_failures,online_failures,valid
0.01,20,True,100,0,100,50,150.0151250936992,15001.512509369919,0,0,True
0.01,20,True,150,0,150,50,224.6382037916817,33695.73056875225,0,0,True
0.01,20,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.01,20,False,100,0,100,50,150.0151250936992,15001.512509369919,0,0,True
0.01,20,False,150,0,150,50,224.6382037916817,33695.73056875225,0,0,True
0.05,1,True,60,0,60,50,89.97186674690025,5398.3120048140145,0,0,True
0.05,1,True,100,0,100,50,150.0647624846672,15006.476248466719,0,0,True
0.05,1,True,150,0,150,50,224.86129865194508,33729.19479779176,0,0,True
0.05,1,False,60,0,60,50,89.97186674690025,5398.3120048140145,0,0,True
0.05,1,False,100,0,100,50,150.0647624846672,15006.476248466719,0,0,True
0.05,1,False,150,0,150,50,224.86129865194508,33729.19479779176,0,0,True
0.05,2,True,60,0,60,50,89.97186674690025,5398.3120048140145,0,0,True
0.05,2,True,100,0,100,50,150.0647624846672,15006.476248466719,0,0,True
0.05,2,True,150,0,150,50,224.86129865194508,33729.19479779176,0,0,True
0.05,2,False,60,0,60,50,89.97186674690025,5398.3120048140145,0,0,True
0.05,2,False,100,0,100,50,150.0647624846672,15006.476248466719,0,0,True
0.05,2,False,150,0,150,50,224.86129865194508,33729.19479779176,0,0,True
0.05,5,True,60,0,60,50,89.96408386313516,5397.84503178811,0,0,True
0.05,5,True,100,0,100,50,150.0647624846672,15006.476248466719,0,0,True
0.05,5,True,150,0,150,50,224.86129865194508,33729.19479779176,0,0,True
0.05,5,False,60,0,60,50,89.96408386313516,5397.84503178811,0,0,True
0.05,5,False,100,0,100,50,150.0647624846672,15006.476248466719,0,0,True
0.05,5,False,150,0,150,50,224.86129865194508,33729.19479779176,0,0,True
0.05,10,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.05,10,True,100,0,100,50,150.027536935651,15002.7536935651,0,0,True
0.05,10,True,150,0,150,50,224.83336289745182,33725.004434617775,0,0,True
0.05,10,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.05,10,False,100,0,100,50,150.027536935651,15002.7536935651,0,0,True
0.05,10,False,150,0,150,50,224.83336289745182,33725.004434617775,0,0,True
0.05,15,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.05,15,True,100,0,100,50,150.0189865144713,15001.898651447129,0,0,True
